#stages0 = writecat:docker:DR9.6.2
#stages1 = writecat:docker:DR9.6.7b
#stages2 = srcs:docker:DR9.6.2 writecat:docker:DR9.6.5
1864p335 file0_rs0_skip0 stages0
1885p332 file0_rs0_skip0 stages0
2010p550 file0_rs0_skip0 stages2
2066p385 file0_rs0_skip0 stages0
2077p347 file0_rs0_skip0 stages0
2079p345 file0_rs0_skip0 stages0
2144p355 file0_rs0_skip0 stages0
2179p382 file0_rs0_skip0 stages2
2227p372 file0_rs0_skip0 stages0
2288p332 file0_rs0_skip0 stages2
2305p395 file0_rs0_skip0 stages0
2337p390 file0_rs0_skip0 stages0
2422p365 file0_rs0_skip0 stages2
2449p462 file0_rs0_skip0 stages0
2455p337 file0_rs0_skip0 stages0
2485p425 file0_rs0_skip0 stages0
2496p490 file0_rs0_skip0 stages0
2507p390 file0_rs0_skip0 stages0
2518p422 file0_rs0_skip0 stages0
2522p460 file0_rs0_skip0 stages0
2538p650 file0_rs0_skip0 stages1
2539p652 file0_rs0_skip0 stages1
2554p335 file0_rs0_skip0 stages0
2565p545 file0_rs0_skip0 stages1
2569p360 file0_rs0_skip0 stages0
2570p657 file0_rs0_skip0 stages0
2574p407 file0_rs0_skip0 stages0
2586p367 file0_rs0_skip0 stages2
2589p367 file0_rs0_skip0 stages0
2601p462 file0_rs0_skip0 stages0
2602p325 file0_rs0_skip0 stages0
2605p400 file0_rs0_skip0 stages0
2605p535 file0_rs0_skip0 stages1
2610p370 file0_rs0_skip0 stages0
2617p482 file0_rs0_skip0 stages0
2626p522 file0_rs0_skip0 stages1
2632p552 file0_rs0_skip0 stages0
2633p412 file0_rs0_skip0 stages2
2639p485 file0_rs0_skip0 stages0
2646p327 file0_rs0_skip0 stages0
2648p460 file0_rs0_skip0 stages0
2656p440 file0_rs0_skip0 stages1
2672p507 file0_rs0_skip0 stages0
2680p400 file0_rs0_skip0 stages0
2683p400 file0_rs0_skip0 stages0
2684p570 file0_rs0_skip0 stages0
2690p372 file0_rs0_skip0 stages2
2690p515 file0_rs0_skip0 stages2
2694p435 file0_rs0_skip0 stages0
2694p515 file0_rs0_skip0 stages2
2695p362 file0_rs0_skip0 stages0
2698p362 file0_rs0_skip0 stages0
2698p455 file0_rs0_skip0 stages0
2700p332 file0_rs0_skip0 stages0
2701p455 file0_rs0_skip0 stages0
2701p475 file0_rs0_skip0 stages0
2702p332 file0_rs0_skip0 stages0
2706p570 file0_rs0_skip0 stages0
2707p485 file0_rs0_skip0 stages0
2712p520 file0_rs0_skip0 stages0
2715p495 file0_rs0_skip0 stages0
2715p497 file0_rs0_skip0 stages0
2715p507 file0_rs0_skip0 stages0
2718p435 file0_rs0_skip0 stages0
2719p497 file0_rs0_skip0 stages0
2720p365 file0_rs0_skip0 stages2
2723p365 file0_rs0_skip0 stages0
2726p365 file0_rs0_skip0 stages0
2727p542 file0_rs0_skip0 stages0
2728p335 file0_rs0_skip0 stages0
2728p517 file0_rs0_skip0 stages0
2729p332 file0_rs0_skip0 stages0
2730p527 file0_rs0_skip0 stages0
2731p387 file0_rs0_skip0 stages0
2738p452 file0_rs0_skip0 stages0
2740p422 file0_rs0_skip0 stages0
2742p410 file0_rs0_skip0 stages0
2747p330 file0_rs0_skip0 stages0
2749p512 file0_rs0_skip0 stages0
2753p497 file0_rs0_skip0 stages0
2753p512 file0_rs0_skip0 stages0
2757p587 file0_rs0_skip0 stages0
2762p587 file0_rs0_skip0 stages0
2768p595 file0_rs0_skip0 stages0
2779p570 file0_rs0_skip0 stages2
2783p525 file0_rs0_skip0 stages0
2784p517 file0_rs0_skip0 stages0
2784p570 file0_rs0_skip0 stages0
2785p522 file0_rs0_skip0 stages0
2797p522 file0_rs0_skip0 stages0
2801p522 file0_rs0_skip0 stages0
2803p555 file0_rs0_skip0 stages0
2807p555 file0_rs0_skip0 stages0
2815p530 file0_rs0_skip0 stages0
2818p495 file0_rs0_skip0 stages0
2819p490 file0_rs0_skip0 stages0
